Type,Function,Digit,Time(ns)
randomdigit,doubleconv,1,67.200000
randomdigit,doubleconv,2,79.600000
randomdigit,doubleconv,3,82.500000
randomdigit,doubleconv,4,89.300000
randomdigit,doubleconv,5,95.100000
randomdigit,doubleconv,6,96.500000
randomdigit,doubleconv,7,101.500000
randomdigit,doubleconv,8,102.300000
randomdigit,doubleconv,9,100.900000
randomdigit,doubleconv,10,103.500000
randomdigit,doubleconv,11,101.000000
randomdigit,doubleconv,12,107.800000
randomdigit,doubleconv,13,107.300000
randomdigit,doubleconv,14,120.800000
randomdigit,doubleconv,15,119.500000
randomdigit,doubleconv,16,120.600000
randomdigit,doubleconv,17,123.500000
randomdigit,fpconv,1,57.800000
randomdigit,fpconv,2,62.500000
randomdigit,fpconv,3,66.900000
randomdigit,fpconv,4,69.900000
randomdigit,fpconv,5,70.200000
randomdigit,fpconv,6,71.900000
randomdigit,fpconv,7,73.200000
randomdigit,fpconv,8,75.000000
randomdigit,fpconv,9,73.500000
randomdigit,fpconv,10,73.500000
randomdigit,fpconv,11,74.900000
randomdigit,fpconv,12,75.500000
randomdigit,fpconv,13,78.100000
randomdigit,fpconv,14,76.500000
randomdigit,fpconv,15,80.000000
randomdigit,fpconv,16,81.800000
randomdigit,fpconv,17,86.400000
randomdigit,grisu2,1,71.200000
randomdigit,grisu2,2,65.400000
randomdigit,grisu2,3,61.700000
randomdigit,grisu2,4,63.700000
randomdigit,grisu2,5,65.800000
randomdigit,grisu2,6,68.600000
randomdigit,grisu2,7,72.100000
randomdigit,grisu2,8,74.400000
randomdigit,grisu2,9,74.000000
randomdigit,grisu2,10,77.100000
randomdigit,grisu2,11,78.500000
randomdigit,grisu2,12,81.800000
randomdigit,grisu2,13,82.600000
randomdigit,grisu2,14,87.000000
randomdigit,grisu2,15,89.700000
randomdigit,grisu2,16,92.700000
randomdigit,grisu2,17,99.100000
randomdigit,milo,1,63.800000
randomdigit,milo,2,58.500000
randomdigit,milo,3,75.400000
randomdigit,milo,4,72.700000
randomdigit,milo,5,69.500000
randomdigit,milo,6,68.800000
randomdigit,milo,7,69.000000
randomdigit,milo,8,69.900000
randomdigit,milo,9,70.500000
randomdigit,milo,10,72.500000
randomdigit,milo,11,74.900000
randomdigit,milo,12,77.700000
randomdigit,milo,13,80.300000
randomdigit,milo,14,86.200000
randomdigit,milo,15,88.800000
randomdigit,milo,16,91.700000
randomdigit,milo,17,95.000000
randomdigit,null,1,1.700000
randomdigit,null,2,1.400000
randomdigit,null,3,1.400000
randomdigit,null,4,1.400000
randomdigit,null,5,1.400000
randomdigit,null,6,1.400000
randomdigit,null,7,1.400000
randomdigit,null,8,1.400000
randomdigit,null,9,1.400000
randomdigit,null,10,1.400000
randomdigit,null,11,1.400000
randomdigit,null,12,1.400000
randomdigit,null,13,1.400000
randomdigit,null,14,1.400000
randomdigit,null,15,1.400000
randomdigit,null,16,1.400000
randomdigit,null,17,1.400000
randomdigit,ostringstream,1,1285.000000
randomdigit,ostringstream,2,1295.700000
randomdigit,ostringstream,3,1321.300000
randomdigit,ostringstream,4,1318.300000
randomdigit,ostringstream,5,1340.000000
randomdigit,ostringstream,6,1337.900000
randomdigit,ostringstream,7,1350.500000
randomdigit,ostringstream,8,1360.900000
randomdigit,ostringstream,9,1338.900000
randomdigit,ostringstream,10,1318.200000
randomdigit,ostringstream,11,1348.000000
randomdigit,ostringstream,12,1367.500000
randomdigit,ostringstream,13,1363.500000
randomdigit,ostringstream,14,1378.700000
randomdigit,ostringstream,15,1398.000000
randomdigit,ostringstream,16,1488.800000
randomdigit,ostringstream,17,1396.600000
randomdigit,ostrstream,1,1143.800000
randomdigit,ostrstream,2,1186.800000
randomdigit,ostrstream,3,1195.500000
randomdigit,ostrstream,4,1232.300000
randomdigit,ostrstream,5,1199.800000
randomdigit,ostrstream,6,1208.700000
randomdigit,ostrstream,7,1229.700000
randomdigit,ostrstream,8,1218.600000
randomdigit,ostrstream,9,1261.100000
randomdigit,ostrstream,10,1183.200000
randomdigit,ostrstream,11,1219.000000
randomdigit,ostrstream,12,1227.200000
randomdigit,ostrstream,13,1315.600000
randomdigit,ostrstream,14,1291.900000
randomdigit,ostrstream,15,1234.800000
randomdigit,ostrstream,16,1231.900000
randomdigit,ostrstream,17,1217.100000
randomdigit,sprintf,1,949.300000
randomdigit,sprintf,2,940.900000
randomdigit,sprintf,3,963.700000
randomdigit,sprintf,4,978.500000
randomdigit,sprintf,5,989.100000
randomdigit,sprintf,6,1007.900000
randomdigit,sprintf,7,1002.900000
randomdigit,sprintf,8,1023.500000
randomdigit,sprintf,9,1001.800000
randomdigit,sprintf,10,983.000000
randomdigit,sprintf,11,995.200000
randomdigit,sprintf,12,1014.100000
randomdigit,sprintf,13,1026.000000
randomdigit,sprintf,14,1021.400000
randomdigit,sprintf,15,1030.900000
randomdigit,sprintf,16,1033.400000
randomdigit,sprintf,17,1026.000000
